;;;;;;;;
Министерство Финансов РФ;ОФЗ;SU26221RMFS0;0.135;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26222RMFS8;0.1;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26223RMFS6;0.1;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26224RMFS4;0.16;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26225RMFS1;0.2;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26226RMFS9;0.12;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26227RMFS7;0.12;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26228RMFS5;0.16;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26229RMFS3;0.12;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26230RMFS1;0.204;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26232RMFS7;0.152;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU29006RMFS2;0.12;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU29007RMFS0;0.16;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU29008RMFS8;0.16;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU29009RMFS6;0.16;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU29010RMFS4;0.16;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU29012RMFS0;0.135;;да;нет;да;нет
"ПАО ""Группа Компаний ПИК""";АО;PIKK;0.38;0.38;да;да;нет;нет
ПАО «Полюс»;АО;PLZL;0.38;0.38;да;да;нет;да
ПАО «Распадская»;АО;RASP;0.5;0.5;да;да;нет;нет
ПАО «НК «Роснефть»;АО;ROSN;0.2;0.2;да;да;нет;нет
ПАО «Россети»;АО;RSTI;0.34;0.34;да;да;нет;нет
ПАО «Ростелеком»;АО;RTKM;0.4;0.4;да;да;нет;нет
ПАО «Ростелеком»;АП;RTKMP;0.38;0.38;да;да;нет;нет
ПАО «РусГидро»;АО;HYDR;0.21;0.21;да;да;нет;нет
ПАО «Сбербанк России»;АП;SBERP;0.2;0.2;да;да;нет;нет
ПАО «Сбербанк России»;АО;SBER;0.2;0.2;да;да;нет;нет
ПАО «Северсталь»;АО;CHMF;0.2;0.2;да;да;нет;нет
ПАО «АФК «Система»;АО;AFKS;0.38;0.38;да;да;нет;нет
ОАО «Сургутнефтегаз»;АП;SNGSP;0.2;0.2;да;да;нет;нет
ОАО «Сургутнефтегаз»;АО;SNGS;0.26;0.26;да;да;нет;нет
ПАО «Татнефть» им. В.Д.Шашина;АО;TATN;0.22;0.22;да;да;нет;нет
ПАО «Татнефть» им. В.Д.Шашина;АП;TATNP;0.38;0.38;да;да;нет;нет
ПАО «АК «Транснефть»;АП;TRNFP;0.2;0.2;да;да;нет;нет
ПАО «ФосАгро»;АО;PHOR;0.38;0.38;да;да;нет;нет
ПАО «ФСК ЕЭС»;АО;FEES;0.27;0.27;да;да;нет;нет
"ПАО ""Энел Россия""";АО;ENRU;0.35;0.35;да;да;нет;нет
ПАО «Юнипро»;АО;UPRO;0.38;0.38;да;да;нет;нет
Банк ВТБ (ПАО) Т2-3;Облигации;RU000A1014J2;0.4;;да;нет;да;нет
Advanced Micro Devices, Inc.;акции;AMD_SPB;0.4;;нет;нет;нет;да
GILEAD SCIENCES, INC.;акции;GILD_SPB;0.35;;нет;нет;нет;да
Micron Technology, Inc.;акции;MU_SPB;0.4;;нет;нет;нет;да
salesforce.com, inc.;акции;CRM_SPB;0.35;;нет;нет;нет;да
The Procter & Gamble Company;акции;PG_SPB;0.35;;нет;нет;нет;да
PayPal Holdings, Inc.;акции;PYPL_SPB;0.4;;нет;нет;нет;да
Comcast Corporation;акции;CMCSA_SPB;0.35;;нет;нет;нет;да
Booking Holdings Inc.;акции;BKNG_SPB;0.35;;нет;нет;нет;да
Costco Wholesale Corporation;акции;COST_SPB;0.35;;нет;нет;нет;да
Bristol-Myers Squibb Company;акции;BMY_SPB;0.4;;нет;нет;нет;да
AbbVie Inc.;акции;ABBV_SPB;0.35;;нет;нет;нет;да
Starbucks Corporation;акции;SBUX_SPB;0.35;;нет;нет;нет;да
Square, Inc.;акции;SQ_SPB;0.4;;нет;нет;нет;да
McDonald's Corporation;акции;MCD_SPB;0.35;;нет;нет;нет;да
Broadcom Inc.;акции;AVGO_SPB;0.35;;нет;нет;нет;да
International Business Machines Corporation;акции;IBM_SPB;0.35;;нет;нет;нет;да
The Goldman Sachs Group, Inc.;акции;GS_SPB;0.35;;нет;нет;нет;да
NIKE, Inc.;акции;NKE_SPB;0.35;;нет;нет;нет;да
Charter Communications, Inc.;акции;CHTR_SPB;0.35;;нет;нет;нет;да
Abbott Laboratories;акции;ABT_SPB;0.35;;нет;нет;нет;да
Texas Instruments Incorporated;акции;TXN_SPB;0.35;;нет;нет;нет;да
NextEra Energy, Inc.;акции;NEE_SPB;0.35;;нет;нет;нет;да
Morgan Stanley;акции;MS_SPB;0.4;;нет;нет;нет;да
Amgen Inc.;акции;AMGN_SPB;0.35;;нет;нет;нет;да
Target Corporation;акции;TGT_SPB;0.4;;нет;нет;нет;да
Regeneron Pharmaceuticals, Inc.;акции;REGN_SPB;0.35;;нет;нет;нет;да
3M Company;акции;MMM_SPB;0.35;;нет;нет;нет;да
Union Pacific Corporation;акции;UNP_SPB;0.35;;нет;нет;нет;да
Medtronic Public Limited Company;акции;MDT_SPB;0.35;;нет;нет;нет;да
Lockheed Martin Corporation;акции;LMT_SPB;0.35;;нет;нет;нет;да
Lowe's Companies, Inc.;акции;LOW_SPB;0.35;;нет;нет;нет;да
American Express Company;акции;AXP_SPB;0.4;;нет;нет;нет;да
Eli Lilly and Company;акции;LLY_SPB;0.35;;нет;нет;нет;да
Lam Research Corporation;акции;LRCX_SPB;0.4;;нет;нет;нет;да
CVS Health Corporation;акции;CVS_SPB;0.4;;нет;нет;нет;да
Thermo Fisher Scientific Inc.;акции;TMO_SPB;0.35;;нет;нет;нет;да
Biogen Inc.;акции;BIIB_SPB;0.4;;нет;нет;нет;да
Ecolab Inc.;акции;ECL_SPB;0.35;;нет;нет;нет;да
BlackRock, Inc.;акции;BLK_SPB;0.35;;нет;нет;нет;да
Honeywell International Inc.;акции;HON_SPB;0.35;;нет;нет;нет;да
